Name,Sum,S_M,S_F,Household,H_M,H_F,0-14,15-64,65+,Local
米村镇,33808,17062,16746,8704,17023,16719,6031,24798,2979,32255
牛店镇,43929,22264,21665,11402,22256,21663,9187,30931,3811,41929
平陌镇,37322,18923,18399,9537,18849,18373,6477,27542,3303,36317
超化镇,65888,33871,32017,16582,33679,31974,12082,47745,6061,63938
苟堂镇,47370,24581,22789,12273,24558,22774,9331,32963,5076,46185
大隗镇,54201,27872,26329,13798,27733,26295,9175,39746,5280,52703
刘寨镇,42442,21631,20811,10666,20741,19855,7054,31463,3925,39939
白寨镇,57310,29362,27948,13791,29109,27856,12191,39954,5165,55909
岳村镇,34691,17849,16842,9394,17618,16765,6245,24938,3508,32584
来集镇,48795,24988,23807,12608,24069,22831,8023,36172,4600,46253
袁庄乡,22328,11418,10910,5898,10986,10458,4021,16202,2105,19593
曲梁镇,50483,25726,24757,12953,24958,24559,9505,36478,4500,48579
新密市矿区办事处,30016,17314,12702,9204,12953,12437,4744,23759,1513,20055
尖山风景区管理委员会,7374,3717,3657,2266,3659,3620,1237,5045,1092,7181
郑州曲梁产业集聚区管理委员会,16723,8562,8161,4091,8300,7934,3483,11850,1390,15939
新郑市,758128,387552,370576,171626,328413,312780,125285,578089,54754,593465
新建路街道,36105,18100,18005,10552,17207,17064,6839,27066,2200,22323
新华路街道,62403,33005,29398,16892,28625,27499,10232,48921,3250,47037
新烟街道,35113,16297,18816,6740,9759,9675,3154,30405,1554,10714
新村镇,51574,25148,26426,8700,16067,15413,6241,42603,2730,30492
辛店镇,72970,37756,35214,19440,36113,34766,12995,52859,7116,68912
观音寺镇,43103,22007,21096,11854,21930,21084,8141,30660,4302,41861
梨河镇,28851,14723,14128,8118,14639,14110,4844,21148,2859,27426
和庄镇,38591,20136,18455,9644,19450,18384,7464,27659,3468,36769
薛店镇,33918,17904,16014,8100,16386,15303,6905,24387,2626,29648
孟庄镇,35289,18367,16922,8126,18154,16795,7070,25185,3034,34342
郭店镇,49530,26223,23307,11957,24014,22781,9820,35911,3799,45735
龙湖街道,119153,58752,60401,15505,31911,30427,13475,100968,4710,59313
城关乡,29150,15101,14049,7725,14540,13873,4593,21928,2629,27072
八千乡,49582,26132,23450,11180,23545,21947,9008,36378,4196,43625
龙王乡,21123,10951,10172,5360,10902,10162,4387,14697,2039,20606
新港办事处,39675,20803,18872,9122,19257,17910,7460,28866,3349,36782
郑港办事处,11998,6147,5851,2611,5914,5587,2657,8448,893,10808
登封市,668637,351380,317257,166081,319444,308416,132627,488200,47810,591436
嵩阳街道,108310,55843,52467,27355,48378,48255,20426,83349,4535,81774
少林街道,32442,22806,9636,3761,7546,7483,3157,28168,1117,14540
中岳街道,22429,11479,10950,5956,10877,10889,4300,16264,1865,19674
大金店镇,57014,29368,27646,14588,29347,27643,12251,40307,4456,54583
颖阳镇,47217,23828,23389,11439,23805,23386,10737,32973,3507,46061
卢店镇,24420,12319,12101,6458,12227,11939,4211,18229,1980,22636
告成镇,46223,23532,22691,11872,22816,22059,9313,33589,3321,43533
阳城区镇,12674,6804,5870,3085,6013,5772,2387,9440,847,11046
大冶镇,72193,37585,34608,19705,35362,34228,13182,53234,5777,64839
宣化镇,20454,10466,9988,5841,10244,9902,4542,13872,2040,19335
徐庄镇,27922,14677,13245,7098,14203,13184,6264,19293,2365,26778
东华镇,55176,29555,25621,13228,27231,25543,11611,39453,4112,51250
白坪乡,13620,7015,6605,3628,6922,6582,3110,9343,1167,12908
君召乡,36256,18803,17453,9260,18466,17445,7561,25678,3017,35045
石道乡,39302,20129,19173,9294,19951,18939,8936,27155,3211,37563
唐庄乡,38513,19507,19006,9982,19025,18456,7234,27894,3385,37270
送表矿区,14472,7664,6808,3531,7031,6711,3405,9959,1108,12601
